id,name,city,state_province,country,latitude,longitude
1,Atlanta United FC,Atlanta,Georgia,USA,33.7554472,-84.4008749
2,Austin FC,Austin,Texas,USA,30.2649799,-97.7465988
3,Charlotte SC,Charlotte,North Carolina,USA,35.227085,-80.843124
4,Chicago Fire FC,Chicago,Illinois,USA,41.8641516,-87.6169438
5,FC Cincinnati,Cincinnati,Ohio,USA,39.097931,-84.508151
6,Colorado Rapids,Denver,Colorado,USA,39.8056827,-104.9918254
7,Columbus Crew SC,Columbus,Ohio,USA,39.9899408,-83.0327175
8,FC Dallas,Frisco,Texas,USA,33.155218,-96.835118
9,D.C. United,Washington,District of Columbia,USA,38.8670036,-76.9754657
10,Houston Dynamo FC,Houston,Texas,USA,29.752142,-95.357836
11,Inter Miami CF,Miami,Florida,USA,25.8011132,-80.2004511
12,LA Galaxy,Las Angeles,California,USA,34.1183998,-118.3001203
13,Los Angeles FC,Los Angeles,California,USA,34.0124421,-118.2856185
14,Minnesota United FC,St. Paul,Minnesota,USA,44.9521176,-93.1570314
15,CF Montréal,Montreal,Quebec,Canada,45.5666931,-73.5539725
16,Nashville SC,Nashville,Tennessee,USA,36.1668056,-86.7782644
17,New England Revolution,Foxborough,Massachusetts,USA,42.09094,-71.264346
18,New York City FC,New York City,New York,USA,40.8296467,-73.9267243
19,New York Red Bulls,Harrison,New Jersey,USA,40.7364278,-74.1495183
20,Orlando City SC,Orlando,Florida,USA,28.5391882,-81.402435
21,Philadelphia Union,Chester,Pennsylvania,USA,39.8245156,-75.3799674
22,Portland Timbers,Portland,Oregon,USA,45.521528,-122.691635
23,Real Salt Lake,Sandy,Utah,USA,40.5805823,-111.893742
24,San Jose Earthquakes,San Jose,California,USA,37.3351874,-121.8905831
25,Seattle Sounders FC,Seattle,Washington,USA,47.5951518,-122.3316394
26,Sporting Kansas City,Kansas City,Missouri,USA,39.121431,-94.823515
27,St. Louis City SC,St. Louis,Missouri,USA,38.6270025,-90.1994042
28,Toronto FC,Toronto,Ontario,Canada,43.651070,-79.347015
29,Vancouver Whitecaps FC,Vancouver,British Columbia,Canada,49.2766846,-123.1160273
